Time,Elapsed Time (s),Voltage (V),Relay 1 Resistance,Relay 2 Resistance,Relay 3 Resistance,Relay 4 Resistance,Relay 5 Resistance,Relay 6 Resistance,Relay 7 Resistance,Relay 8 Resistance,MFC A Flow Rate,MFC B Flow Rate,MFC C Flow Rate,Cycle
2024-10-18 13:37:27.326,25.559,1.0,-18303429.4952811,0.9999880001439984,16359168.823350422,-13217482.976212362,22558921.647450976,-50263178.00000804,-85052166.74647395,-15577612.416229442,1000.0,0.0,0.0,Off Cycle (Repeat 1)
2024-10-18 13:37:28.863,27.087,1.0,-24953343.48601702,0.9999880001439984,-11787664.091651447,13393825.205491416,55542379.668823004,-32445189.530196898,16712928.051513253,-13025533.040632239,1000.0,0.0,0.0,Off Cycle (Repeat 1)
2024-10-18 13:37:30.440,28.625,1.0,-12767162.449630352,0.9999790004409906,13828093.292614209,-11684701.419071933,13558445.101245655,-24145695.124380514,380109045.68302554,-13952576.58743696,1000.0,0.0,0.0,Off Cycle (Repeat 1)
2024-10-18 13:37:32.017,30.202,1.0,31275391.708643455,0.9999670010889641,-18506941.398510337,20617498.194422595,-12081626.853880335,13026931.226270631,13853280.186609225,-12305116.184291756,1000.0,0.0,0.0,Off Cycle (Repeat 1)
2024-10-18 13:37:33.516,31.78,1.0,55149806.17600619,0.9999610015209408,86183196.17277662,23788804.89326201,53453925.389010936,-21852325.480773013,11350576.75118117,-12690112.156480249,1000.0,0.0,0.0,Off Cycle (Repeat 1)
2024-10-18 13:37:35.419,33.278,1.0,-14749956.524503145,0.9999670010889641,-11714954.537775924,14139411.772191454,-11589049.970245115,61430570.5548532,-14046843.695291935,12435313.055897355,900.0,0.0,99.99999237060547,Run-On Cycle (Repeat 2)
2024-10-18 13:37:36.953,35.181,1.0,-12933424.936471015,0.9999650012249571,11739898.78563661,-11416098.525496714,13457948.553761745,-22708321.600700505,145350168.1774121,-13238573.390149761,900.0,0.0,99.99999237060547,Run-On Cycle (Repeat 2)
2024-10-18 13:37:38.490,36.716,1.0,12170977.403728481,0.9999550020249088,30689946.832736105,-119971686.68194307,24040507.293168698,-12826072.429600574,101470901.89975852,3626126093.4583235,900.0,0.0,99.99999237060547,Run-On Cycle (Repeat 2)
2024-10-18 13:37:39.987,38.251,1.0,12621570.971598437,0.9999730007289803,-29471070.902091797,19643625.348919895,-109484236.18596335,-104140349.53250355,28649748.79900253,-13094001.179769507,900.0,0.0,99.99999237060547,Run-On Cycle (Repeat 2)
2024-10-18 13:37:41.537,39.748,1.0,13230129.503122643,0.9999810003609931,23246974.696830392,-16877711.19333182,50402108.01776574,36395134.698393516,-11466129.226257574,12121060.791604662,900.0,0.0,99.99999237060547,Run-On Cycle (Repeat 2)
2024-10-18 13:37:43.070,41.3,1.0,128097821.64530379,0.9999740006759823,-13416148.535010245,-11976578.6028842,17310265.212304343,-14057988.923148207,13099294.354112439,-13481369.556155566,900.0,0.0,99.99999237060547,Run-On Cycle (Repeat 2)
2024-10-18 13:37:44.588,42.83,1.0,13670349.36765065,0.9999520023038894,-14462539.4917719,13372278.757988097,-14507237.733441403,230642146.94626337,37002337.06760919,-17837057.056821372,900.0,0.0,99.99999237060547,Run-On Cycle (Repeat 2)
2024-10-18 13:37:46.434,44.349,1.0,-62576538.92917775,0.9999670010889641,13600695.811597722,-11495543.809919804,-11742997.914561002,16031120.894369822,-22644394.24433845,13771363.688632222,1000.0,0.0,0.0,Off Cycle (Repeat 2)
2024-10-18 13:37:47.966,46.197,1.0,13005384.359178543,0.9999520023038894,-13439996.731392793,13493297.272046598,-13608908.28249045,35766888.58828806,43300840.38271015,130511926.50612396,1000.0,0.0,0.0,Off Cycle (Repeat 2)
2024-10-18 13:37:49.502,47.726,1.0,13911477.65072425,0.9999610015209408,12144144.682425153,11307664.708292216,-12129024.683292972,13871247.359434675,-16079908.138700787,2962545134.375122,1000.0,0.0,0.0,Off Cycle (Repeat 2)
2024-10-18 13:37:51.057,49.295,1.0,13541843.41593542,0.9999470028088511,26827762.011996303,86702521.04920454,24300810.990965202,-15466023.774990387,11138436.17024476,-12958425.35435138,1000.0,0.0,0.0,Off Cycle (Repeat 2)
2024-10-18 13:37:52.586,50.817,1.0,26387166.759769388,0.9999820003239941,-13474955.111555785,-62368674.9587899,13602695.727828559,31813982.37250865,-28985095.57400489,13966509.706375083,1000.0,0.0,0.0,Off Cycle (Repeat 2)
2024-10-18 13:37:54.120,52.347,1.0,14034743.006312126,0.9999580017639258,11735547.878160134,-14751007.420051754,11438081.376229951,-13633965.917539319,15818797.572067674,-12069105.76857393,1000.0,0.0,0.0,Off Cycle (Repeat 2)
2024-10-18 13:37:55.638,53.881,1.0,11579300.841815172,0.9999460029158426,91016490.36772482,-122363330.25507982,24542509.221234277,-15156509.910462916,15529170.459666552,42964683.459842846,1000.0,0.0,0.0,Off Cycle (Repeat 2)
